data_imp_1 - 94.0-96.0,data_imp_1 - 96.0-98.0,data_imp_1 - 98.0-100.0,_BACKGROUND
TXNIP,,,JDP2
TYROBP,,,JOSD2
UBASH3B,,,JPH2
UBC,,,JRK
UGT8,,,JRKL
UNC13C,,,JUN
UNC93B1,,,JUNB
UQCRB,,,JUND
USF1,,,JUP
USF2,,,KANK1
USP53,,,KANK2
USP6NL,,,KANK3
UST,,,KANK4
UTRN,,,KAT2B
VASH1,,,KAT7
VASP,,,KAZN
VAV1,,,KBTBD12
VAX1,,,KC6
VCAN,,,KCNAB1
VDR,,,KCNAB1-AS2
VEGFA,,,KCNB2
VENTX,,,KCNC2
VIP,,,KCND2
VIPR2,,,KCNE1
VSIG4,,,KCNE3
VWA2,,,KCNE4
VWC2,,,KCNH5
VWC2L,,,KCNH7
VWF,,,KCNH8
WDFY4,,,KCNIP1
WDR49,,,KCNJ16
WDR86,,,KCNJ2
WIPF1,,,KCNJ2-AS1
WLS,,,KCNJ5
WNT2B,,,KCNJ8
WNT5A,,,KCNK13
WT1,,,KCNK2
WWC1,,,KCNK6
WWTR1,,,KCNMB1
XACT,,,KCNMB2
XAF1,,,KCNMB2-AS1
XBP1,,,KCNMB4
XKR4,,,KCNN3
XRCC4,,,KCNQ1
XYLT1,,,KCNQ1OT1
YAP1,,,KCNQ3
YBX3,,,KCNQ5
YES1,,,KCNS3
YWHAZ,,,KCNT2
YY1,,,KCTD12
ZBTB14,,,KCTD16
ZBTB18,,,KCTD4
ZBTB20,,,KCTD8
ZBTB37,,,KCTD9
ZBTB7A,,,KDM2A
ZBTB7B,,,KDM2B
ZBTB7C,,,KDM4A-AS1
ZC3HAV1,,,KDM4B
ZDHHC20,,,KDM4C
ZEB1,,,KDM4D
ZFAND6,,,KDM5A
ZFHX3,,,KDM5D
ZFP36,,,KDM7A
ZFP36L1,,,KDR
ZFP36L2,,,KEL
ZFPM2-AS1,,,KHDRBS2
ZFX,,,KHDRBS3
ZHX2,,,KIAA0040
ZHX3,,,KIAA1217
ZIC1,,,KIAA1755
ZIC2,,,KIF13B
ZIC3,,,KIF19
ZIC4,,,KIF20B
ZIC5,,,KIF22
ZKSCAN1,,,KIF26B
ZMAT4,,,KIF6
ZNF124,,,KIT
ZNF143,,,KITLG
ZNF146,,,KIZ-AS1
ZNF148,,,KLF10
ZNF217,,,KLF11
ZNF267,,,KLF12
ZNF281,,,KLF13
ZNF331,,,KLF15
ZNF362,,,KLF16
ZNF366,,,KLF17
ZNF382,,,KLF2
ZNF385A,,,KLF3
ZNF385B,,,KLF4
ZNF385D,,,KLF5
ZNF423,,,KLF6
ZNF429,,,KLF7
ZNF460,,,KLF8
ZNF462,,,KLF9
ZNF467,,,KLHL1
ZNF471,,,KLHL13
ZNF516,,,KLHL4
ZNF521,,,KLHL6
ZNF532,,,KLHL6-AS1
ZNF536,,,KLK6
ZNF618,,,KLRC4-KLRK1
ZNF644,,,KLRD1
ZNF652,,,KLRG1
ZNF706,,,KMO
ZNF710,,,KMT2A
ZNF827,,,KMT2B
ZNF831,,,KNOP1
ZNF84,,,KREMEN1
ZNF846,,,KYNU
ZNF91,,,L3MBTL4-AS1
ZNF98,,,LACC1
ZNRF2,,,LACTB2
ZSCAN31,,,LAIR1
,,,LAMA1
,,,LAMA2
,,,LAMA3
,,,LAMA4
,,,LAMB1
,,,LAMB2
,,,LAMC1
,,,LAMC3
,,,LAMP2
,,,LANCL1-AS1
,,,LAP3
,,,LAPTM4A
,,,LAPTM5
,,,LARP1
,,,LARP4
,,,LAS1L
,,,LAT2
,,,LATS2
,,,LAYN
,,,LBH
,,,LBX2
,,,LCAT
,,,LCNL1
,,,LCOR
,,,LCORL
,,,LCP1
,,,LCP2
,,,LDB1
,,,LDB2
,,,LDB3
,,,LDLR
,,,LDLRAD3
,,,LDLRAD4
,,,LDLRAP1
,,,LEF1
,,,LEKR1
,,,LENG9
,,,LEPR
,,,LFNG
,,,LGALS1
,,,LGALS3
,,,LGALS3BP
,,,LGALS9
,,,LGI1
,,,LGI3
,,,LGMN
,,,LGR4
,,,LGR5
,,,LGR6
,,,LHFPL2
,,,LHFPL3
,,,LHFPL3-AS1
,,,LHFPL3-AS2
,,,LHX1
,,,LHX2
,,,LHX4
,,,LHX6
,,,LILRB1
,,,LILRB3
,,,LILRB4
,,,LIMD1
,,,LIMK2
,,,LIMS1
,,,LIMS2
,,,LIN28A
,,,LIN28B
,,,LINC00032
,,,LINC00159
,,,LINC00200
,,,LINC00240
,,,LINC00271
,,,LINC00276
,,,LINC00278
,,,LINC00290
,,,LINC00298
,,,LINC00299
,,,LINC00320
,,,LINC00326
,,,LINC00351
,,,LINC00378
,,,LINC00463
,,,LINC00467
,,,LINC00484
,,,LINC00499
,,,LINC00504
,,,LINC00507
,,,LINC00511
,,,LINC00534
,,,LINC00535
,,,LINC00536
,,,LINC00539
,,,LINC00540
,,,LINC00571
,,,LINC00578
,,,LINC00582
,,,LINC00598
,,,LINC00601
,,,LINC00607
,,,LINC00609
,,,LINC00612
,,,LINC00639
,,,LINC00640
,,,LINC00645
,,,LINC00649
,,,LINC00706
,,,LINC00836
,,,LINC00840
,,,LINC00844
,,,LINC00861
,,,LINC00862
,,,LINC00865
,,,LINC00870
,,,LINC00877
,,,LINC00880
,,,LINC00886
,,,LINC00891
,,,LINC00899
,,,LINC00906
,,,LINC00907
,,,LINC00910
,,,LINC00922
,,,LINC00923
,,,LINC00924
,,,LINC00926
,,,LINC00940
,,,LINC00944
,,,LINC00945
,,,LINC00958
,,,LINC00960
,,,LINC00972
,,,LINC00996
,,,LINC01010
,,,LINC01023
,,,LINC01036
,,,LINC01053
,,,LINC01060
,,,LINC01088
,,,LINC01090
,,,LINC01091
,,,LINC01094
,,,LINC01098
,,,LINC01099
,,,LINC01117
,,,LINC01122
,,,LINC01135
,,,LINC01137
,,,LINC01141
,,,LINC01146
,,,LINC01151
,,,LINC01170
,,,LINC01182
,,,LINC01189
,,,LINC01194
,,,LINC01197
,,,LINC01202
,,,LINC01208
,,,LINC01221
,,,LINC01222
,,,LINC01237
,,,LINC01239
,,,LINC01241
,,,LINC01250
,,,LINC01258
,,,LINC01266
,,,LINC01285
,,,LINC01291
,,,LINC01299
,,,LINC01301
,,,LINC01320
,,,LINC01322
,,,LINC01331
,,,LINC01340
,,,LINC01344
,,,LINC01356
,,,LINC01358
,,,LINC01363
,,,LINC01375
,,,LINC01376
,,,LINC01378
,,,LINC01410
,,,LINC01411
,,,LINC01416
,,,LINC01422
,,,LINC01445
,,,LINC01470
,,,LINC01476
,,,LINC01478
,,,LINC01480
,,,LINC01482
,,,LINC01483
,,,LINC01500
,,,LINC01504
,,,LINC01505
,,,LINC01508
,,,LINC01549
,,,LINC01550
,,,LINC01554
,,,LINC01568
,,,LINC01572
,,,LINC01591
,,,LINC01605
,,,LINC01608
,,,LINC01619
,,,LINC01625
,,,LINGO2
,,,LIPC
,,,LIPE
,,,LIPG
,,,LITAF
,,,LIX1
,,,LLGL1
,,,LLGL2
,,,LMCD1
,,,LMCD1-AS1
,,,LMF1-AS1
,,,LMNA
,,,LMNTD1
,,,LMO1
,,,LMO2
,,,LMOD1
,,,LMX1A
,,,LMX1B
,,,LOXL2
,,,LOXL3
,,,LPAR1
,,,LPAR3
,,,LPAR4
,,,LPAR5
,,,LPAR6
,,,LPCAT2
,,,LPGAT1
,,,LPIN3
,,,LPL
,,,LPXN
,,,LRAT
,,,LRCH1
,,,LRFN5
,,,LRIG1
,,,LRIG3
,,,LRP10
,,,LRP2
,,,LRP4
,,,LRP4-AS1
,,,LRRC1
,,,LRRC32
,,,LRRC3B
,,,LRRC4C
,,,LRRC63
,,,LRRC69
,,,LRRC74A
,,,LRRC8A
,,,LRRC8D
,,,LRRFIP1
,,,LRRK1
,,,LRRK2
,,,LRRN1
,,,LRRTM4
,,,LRTM1
,,,LSM6
,,,LSMEM2
,,,LSR
,,,LST1
,,,LTB4R
,,,LTBP1
,,,LTBP2
,,,LTBR
,,,LTC4S
,,,LTF
,,,LUCAT1
,,,LURAP1L
,,,LURAP1L-AS1
,,,LUZP1
,,,LUZP2
,,,LY86
,,,LY86-AS1
,,,LY96
,,,LYL1
,,,LYN
,,,LYPD6
,,,LYPD6B
,,,LYPLAL1-AS1
,,,LYVE1
,,,LZTS1
,,,LZTS1-AS1
,,,LZTS2
,,,MAF
,,,MAFB
,,,MAFF
,,,MAFG
,,,MAFK
,,,MAG
,,,MAGEA8
,,,MAGEC3
,,,MAGEF1
,,,MAGI1-AS1
,,,MAGOH
,,,MAGT1
,,,MAL
,,,MALRD1
,,,MAMDC2
,,,MAMDC2-AS1
,,,MAML2
,,,MAML3
,,,MAN1A1
,,,MAN2A1
,,,MAN2B1
,,,MAOA
,,,MAOB
,,,MAP3K1
,,,MAP3K11
,,,MAP3K14
,,,MAP3K19
,,,MAP3K7CL
,,,MAP3K8
,,,MAP4K1
,,,MAP4K2
,,,MAP7D3
,,,MAPK1
,,,MAPK4
,,,MAPKAPK2
,,,MAPKAPK3
,,,MAPT-AS1
,,,MARCKSL1
,,,MASP1
,,,MATN1-AS1
,,,MATN2
,,,MAX
,,,MAZ
,,,MBD1
,,,MBD2
,,,MBNL1-AS1
,,,MBNL2
,,,MBNL3
,,,MBOAT1
,,,MBP
,,,MBTPS2
,,,MCAM
,,,MCC
,,,MCL1
,,,MCM3
,,,MCM5
,,,MCMDC2
,,,MCOLN2
,,,MCTP1
,,,MCTP2
,,,MDC1-AS1
,,,MDFIC
,,,MDM2
,,,MDS2
,,,MECOM
,,,MECP2
,,,MED30
,,,MEF2A
,,,MEF2C
,,,MEF2D
,,,MEGF10
,,,MEGF11
,,,MEI4
,,,MEIS1
,,,MEIS1-AS2
,,,MEIS2
,,,MEIS3
,,,MELK
,,,MEOX1
,,,MEOX2
,,,MEPE
,,,MERTK
,,,MESP1
,,,MESP2
,,,MET
,,,METAP1D
,,,METRN
,,,METRNL
,,,METTL14
,,,METTL3
,,,METTL7A
,,,MEX3C
,,,MFGE8
,,,MFHAS1
,,,MFNG
,,,MFSD2A
,,,MFSD4B
,,,MGA
,,,MGAM
,,,MGAT1
,,,MGAT4A
,,,MGAT4C
,,,MGME1
,,,MGP
,,,MGST1
,,,MGST2
,,,MIATNB
,,,MICALL1
,,,MID1
,,,MID1IP1
,,,MIDN
,,,MIEF1
,,,MILR1
,,,MIOS
,,,MIOX
,,,MIR17HG
,,,MIR2052HG
,,,MIR3142HG
,,,MIR31HG
,,,MIR325HG
,,,MIR34AHG
,,,MIR3681HG
,,,MIR4300HG
,,,MIR4435-2HG
,,,MIR4500HG
,,,MIR503HG
,,,MIR646HG
,,,MIR924HG
,,,MIS18BP1
,,,MITF
,,,MIXL1
,,,MKNK1
,,,MKNK1-AS1
,,,MKRN3
,,,MKX
,,,MLC1
,,,MLIP
,,,MLKL
,,,MLLT10
,,,MLX
,,,MLXIP
,,,MLXIPL
,,,MMD2
,,,MME
,,,MMP14
,,,MMP16
,,,MMP19
,,,MMP21
,,,MMP28
,,,MMRN1
,,,MMRN2
,,,MMS22L
,,,MN1
,,,MNDA
,,,MNT
,,,MNX1
,,,MOB3A
,,,MOB3B
,,,MOBP
,,,MOCOS
,,,MOG
,,,MORC1
,,,MORC4
,,,MORN1
,,,MOXD1
,,,MPPED2
,,,MPST
,,,MPZL1
,,,MR1
,,,MRC1
,,,MRC2
,,,MROH9
,,,MRPL1
,,,MRPL2
,,,MRPS25
,,,MS4A14
,,,MS4A4A
,,,MS4A6A
,,,MSANTD3
,,,MSC
,,,MSC-AS1
,,,MSI1
,,,MSI2
,,,MSN
,,,MSR1
,,,MSRA
,,,MSRB3
,,,MSX1
,,,MSX2
,,,MT1E
,,,MT1F
,,,MT1G
,,,MT1M
,,,MT2A
,,,MT3
,,,MTA3
,,,MTCP1
,,,MTERF1
,,,MTF1
,,,MTF2
,,,MTHFD1
,,,MTHFD1L
,,,MTHFD2
,,,MTMR8
,,,MTMR9LP
,,,MTRF1
,,,MTSS1
,,,MTUS2
,,,MUSK
,,,MVP
,,,MX1
,,,MX2
,,,MXD1
,,,MXD3
,,,MXD4
,,,MXI1
,,,MYB
,,,MYBL1
,,,MYBL2
,,,MYBPC1
,,,MYC
,,,MYCL
,,,MYCN
,,,MYCT1
,,,MYEF2
,,,MYH11
,,,MYH15
,,,MYH16
,,,MYH7B
,,,MYL12A
,,,MYL12B
,,,MYL3
,,,MYL6
,,,MYL9
,,,MYLIP
,,,MYLK
,,,MYNN
,,,MYO10
,,,MYO16
,,,MYO16-AS1
,,,MYO1B
,,,MYO1C
,,,MYO1D
,,,MYO1E
,,,MYO1F
,,,MYO5B
,,,MYO7A
,,,MYOCD
,,,MYOF
,,,MYOG
,,,MYOM1
,,,MYOT
,,,MYPOP
,,,MYRF
,,,MYRFL
,,,MYRIP
,,,MYT1
,,,MZF1
,,,MZF1-AS1
,,,NAA11
,,,NAALADL2-AS2
,,,NAALADL2-AS3
,,,NABP1
,,,NACAD
,,,NAGS
,,,NALCN-AS1
,,,NAMPT
,,,NANOG
,,,NANOGP8
,,,NANOS1
,,,NAP1L1
,,,NAPSB
,,,NAT8L
,,,NBPF14
,,,NCALD
,,,NCAN
,,,NCBP2
,,,NCF2
,,,NCF4
,,,NCK2
,,,NCKAP1L
,,,NCMAP
,,,NCOA1
,,,NCOA2
,,,NCOA3
,,,NCOA7-AS1
,,,NCOR1
,,,NCOR2
,,,NDC1
,,,NDE1
,,,NDNF
,,,NDP
,,,NDRG1
,,,NDRG2
,,,NDST3
,,,NDST4
,,,NDUFA4L2
,,,NDUFB7
,,,NDUFB9
,,,NEAT1
,,,NEB
,,,NECTIN2
,,,NEDD1
,,,NEDD4
,,,NEDD9
,,,NEK3
,,,NEK5
,,,NEK6
,,,NELFA
,,,NELFB
,,,NELL1
,,,NELL2
,,,NENF
,,,NES
,,,NET1
,,,NETO1
,,,NETO2
,,,NEU4
,,,NEURL1B
,,,NEUROD2
,,,NF1
,,,NFAM1
,,,NFAT5
,,,NFATC1
,,,NFATC2
,,,NFATC3
,,,NFATC4
,,,NFE2
,,,NFE2L1
,,,NFE2L2
,,,NFE2L3
,,,NFE4
,,,NFIA
,,,NFIA-AS2
,,,NFIB
,,,NFIC
,,,NFIL3
,,,NFIX
,,,NFKB1
,,,NFKB2
,,,NFKBIA
,,,NFKBID
,,,NFKBIZ
,,,NFX1
,,,NFXL1
,,,NFYA
,,,NFYB
,,,NFYC
,,,NGB
,,,NGF
,,,NGFR
,,,NHLH1
,,,NHLH2
,,,NHS
,,,NHSL1
,,,NHSL2
,,,NID1
,,,NID2
,,,NINJ1
,,,NINJ2
,,,NIPAL1
,,,NIPAL4
,,,NKAIN1
,,,NKAIN3
,,,NKAIN4
,,,NKD1
,,,NKX1-2
,,,NKX2-2
,,,NKX2-8
,,,NKX3-1
,,,NKX6-1
,,,NKX6-2
,,,NKX6-3
,,,NLGN4Y
,,,NLRC5
,,,NLRP1
,,,NLRP3
,,,NMI
,,,NMRAL1
,,,NMU
,,,NMUR2
,,,NNT
,,,NOBOX
,,,NOC2L
,,,NOC3L
,,,NOD1
,,,NOL8
,,,NONO
,,,NOS1
,,,NOS3
,,,NOSTRIN
,,,NOTCH1
,,,NOTCH2
,,,NOTCH3
,,,NOTCH4
,,,NOTO
,,,NOX4
,,,NPAS2
,,,NPAS4
,,,NPC2
,,,NPDC1
,,,NPFFR2
,,,NPL
,,,NPLOC4
,,,NPNT
,,,NPSR1
,,,NPSR1-AS1
,,,NPY
,,,NPY6R
,,,NR0B1
,,,NR1D1
,,,NR1D2
,,,NR1H2
,,,NR1H3
,,,NR1H4
,,,NR1I2
,,,NR1I3
,,,NR2C1
,,,NR2C2
,,,NR2E1
,,,NR2E3
,,,NR2F1
,,,NR2F2
,,,NR2F2-AS1
,,,NR2F6
,,,NR3C1
,,,NR3C2
,,,NR4A1
,,,NR4A2
,,,NR4A3
,,,NR5A1
,,,NR5A2
,,,NR6A1
,,,NRARP
,,,NREP-AS1
,,,NRF1
,,,NRG1
,,,NRIP3
,,,NRL
,,,NRP1
,,,NRP2
,,,NSMCE1
,,,NSUN7
,,,NT5C
,,,NT5DC1
,,,NT5DC2
,,,NTM-AS1
,,,NTN1
,,,NTN4
,,,NTNG1
,,,NTNG2
,,,NUAK2
,,,NUCB1
,,,NUDT1
,,,NUF2
,,,NUP107
,,,NUP133
,,,NUP210L
,,,NUP37
,,,NUPR1
,,,NWD1
,,,NWD2
,,,NXN
,,,NXPE1
,,,NXPH1
,,,NXPH2
,,,NXPH3
,,,NYAP2
,,,OAF
,,,OARD1
,,,OAS1
,,,OAS2
,,,OAS3
,,,OCA2
,,,OCLN
,,,ODC1
,,,OGFRL1
,,,OGN
,,,OLAH
,,,OLFM3
,,,OLFML1
,,,OLFML2A
,,,OLFML2B
,,,OLFML3
,,,OLIG1
,,,OLIG2
,,,OLMALINC
,,,OLR1
,,,OMD
,,,ONECUT1
,,,ONECUT2
,,,ONECUT3
,,,OPALIN
,,,OPCML
,,,OPHN1
,,,OPLAH
,,,OPRM1
,,,OR3A2
,,,OR56A1
,,,ORAI1
,,,ORMDL2
,,,OSBPL11
,,,OSGIN2
,,,OSMR
,,,OSMR-AS1
,,,OSR1
,,,OTOGL
,,,OTP
,,,OTUD1
,,,OTUD4
,,,OTULIN
,,,OTX1
,,,OVCH1-AS1
,,,OVCH2
,,,OVOL1
,,,OVOL2
,,,OVOL3
,,,P2RX1
,,,P2RX4
,,,P2RY10
,,,P2RY12
,,,P2RY13
,,,P2RY14
,,,P2RY6
,,,P3H2
,,,P4HA1
,,,P4HA3
,,,P4HB
,,,PACRG-AS1
,,,PACRG-AS3
,,,PACSIN3
,,,PADI2
,,,PAG1
,,,PAIP2B
,,,PALD1
,,,PALLD
,,,PALMD
,,,PAM
,,,PAMR1
,,,PAPLN
,,,PAPOLG
,,,PAPPA
,,,PAPSS2
,,,PAQR4
,,,PAQR5
,,,PAQR6
,,,PARD3
,,,PARD3B
,,,PARP1
,,,PARP12
,,,PARP14
,,,PARP15
,,,PARP4
,,,PARP8
,,,PARP9
,,,PARVA
,,,PARVB
,,,PARVG
,,,PATL2
,,,PATZ1
,,,PAWR
,,,PAX2
,,,PAX3
,,,PAX5
,,,PAX6
,,,PAX7
,,,PAX8
,,,PAX8-AS1
,,,PAXIP1
,,,PAXIP1-AS2
,,,PBX1
,,,PBX2
,,,PBX3
,,,PBX4
,,,PBXIP1
,,,PCA3
,,,PCAT1
,,,PCAT19
,,,PCBD2
,,,PCBP3
,,,PCCA-AS1
,,,PCDH11X
,,,PCDH11Y
,,,PCDH15
,,,PCDH18
,,,PCDH7
,,,PCDH9-AS2
,,,PCDH9-AS3
,,,PCDH9-AS4
,,,PCED1B
,,,PCED1B-AS1
,,,PCK2
,,,PCOLCE2
,,,PCP4
,,,PCSK2
,,,PCSK5
,,,PCSK6
,,,PCSK6-AS1
,,,PCYT1B
,,,PCYT1B-AS1
,,,PDCD11
,,,PDCD1LG2
,,,PDE10A
,,,PDE1A
,,,PDE1C
,,,PDE3A
,,,PDE3B
,,,PDE6B
,,,PDE6D
,,,PDE6H
,,,PDE7B
,,,PDE9A
,,,PDGFA
,,,PDGFB
,,,PDGFC
,,,PDGFD
,,,PDGFRA
,,,PDGFRB
,,,PDHX
,,,PDIA4
,,,PDK1
,,,PDK4
,,,PDLIM1
,,,PDLIM3
,,,PDLIM5
,,,PDPN
,,,PDS5A
,,,PDZD2
,,,PDZRN3
,,,PDZRN4
,,,PEAR1
,,,PECAM1
,,,PELI1
,,,PELI2
,,,PENK
,,,PER1
,,,PERP
,,,PEX11G
,,,PEX5L-AS2
,,,PEX7
,,,PFKFB2
,,,PFKFB3
,,,PFN1
,,,PGAM2
,,,PGM5
,,,PGR
,,,PHACTR1
,,,PHACTR2
,,,PHEX
,,,PHF1
,,,PHF12
,,,PHF19
,,,PHF2
,,,PHF20
,,,PHF21A
,,,PHF21B
,,,PHF8
,,,PHGDH
,,,PHKA1
,,,PHLDA1
,,,PHLDA2
,,,PHLDA3
,,,PHLDB1
,,,PHLDB2
,,,PHTF1
,,,PHYHD1
,,,PI15
,,,PI16
,,,PI4K2B
,,,PICK1
,,,PID1
,,,PIEZO1
,,,PIEZO2
,,,PIGC
,,,PIGH
,,,PIK3AP1
,,,PIK3C3
,,,PIK3CD
,,,PIK3CD-AS2
,,,PIK3CG
,,,PIK3IP1
,,,PIK3R5
,,,PIK3R6
,,,PILRA
,,,PIM1
,,,PIM3
,,,PIP
,,,PIP4K2A
,,,PIP5K1B
,,,PIPOX
,,,PIR
,,,PITPNC1
,,,PITX1
,,,PITX3
,,,PKD1L2
,,,PKD2L2
,,,PKHD1L1
,,,PKIA-AS1
,,,PKIB
,,,PKM
,,,PKN2-AS1
,,,PKN3
,,,PKNOX1
,,,PKNOX2
,,,PKP2
,,,PLA1A
,,,PLA2G15
,,,PLA2G4A
,,,PLA2G7
,,,PLA2R1
,,,PLAC8
,,,PLAC9
,,,PLAG1
,,,PLAGL1
,,,PLAGL2
,,,PLAT
,,,PLAUR
,,,PLB1
,,,PLBD1
,,,PLBD1-AS1
,,,PLCB2
,,,PLCB4
,,,PLCG1-AS1
,,,PLCG2
,,,PLCH1
,,,PLCL1
,,,PLCXD3
,,,PLD1
,,,PLD4
,,,PLD5
,,,PLEK
,,,PLEKHA7
,,,PLEKHB1
,,,PLEKHF1
,,,PLEKHF2
,,,PLEKHG1
,,,PLEKHG2
,,,PLEKHG3
,,,PLEKHG4B
,,,PLEKHH1
,,,PLEKHH2
,,,PLEKHM1P1
,,,PLEKHO1
,,,PLET1
,,,PLG
,,,PLIN2
,,,PLIN3
,,,PLIN5
,,,PLK3
,,,PLLP
,,,PLOD1
,,,PLOD2
,,,PLP1
,,,PLPP1
,,,PLPP2
,,,PLPP3
,,,PLPP4
,,,PLPPR1
,,,PLS3
,,,PLS3-AS1
,,,PLSCR1
,,,PLSCR4
,,,PLTP
,,,PLVAP
,,,PLXDC1
,,,PLXDC2
,,,PLXNA4
,,,PLXNB3
,,,PLXND1
,,,PMEPA1
,,,PML
,,,PMP2
,,,PMP22
,,,PNP
,,,PNRC1
,,,PODN
,,,PODXL
,,,POF1B
,,,POLD2
,,,POLE3
,,,POLE4
,,,POLI
,,,POLR2A
,,,POLR2F
,,,POLR2I
,,,POLR3A
,,,POLR3G
,,,PON2
,,,PON3
,,,POSTN
,,,POT1-AS1
,,,POU1F1
,,,POU2AF1
,,,POU2F1
,,,POU2F2
,,,POU2F3
,,,POU3F1
,,,POU3F2
,,,POU3F4
,,,POU4F1
,,,POU5F1
,,,POU6F1
,,,POU6F2
,,,PPARA
,,,PPARD
,,,PPARG
,,,PPARGC1A
,,,PPFIBP1
,,,PPFIBP2
,,,PPP1CB
,,,PPP1R10
,,,PPP1R13L
,,,PPP1R14A
,,,PPP1R15A
,,,PPP1R17
,,,PPP1R18
,,,PPP1R1B
,,,PPP1R1C
,,,PPP1R36
,,,PPP1R3B
,,,PPP1R3C
,,,PPP2R3B
,,,PPP3CB-AS1
,,,PPP4R1L
,,,PPP5C
,,,PPP5D1
,,,PQBP1
,,,PRAM1
,,,PRDM1
,,,PRDM10
,,,PRDM11
,,,PRDM12
,,,PRDM14
,,,PRDM15
,,,PRDM16
,,,PRDM4
,,,PRDM5
,,,PRDM6
,,,PRDM7
,,,PRDM9
,,,PRDX1
,,,PRDX5
,,,PRELID2
,,,PRELP
,,,PREX1
,,,PREX2
,,,PRICKLE3
,,,PRIMA1
,,,PRKAA1
,,,PRKAA2
,,,PRKAG2
,,,PRKCA-AS1
,,,PRKCD
,,,PRKCH
,,,PRKCQ
,,,PRKCQ-AS1
,,,PRKG1
,,,PRKG2
,,,PRKX
,,,PRKX-AS1
,,,PRKY
,,,PRLR
,,,PRNP
,,,PROCR
,,,PROM1
,,,PROP1
,,,PROS1
,,,PROSER2
,,,PROX1
,,,PROX1-AS1
,,,PROX2
,,,PRR16
,,,PRR18
,,,PRR5
,,,PRR5L
,,,PRRG4
,,,PRRX1
,,,PRRX2
,,,PRSS23
,,,PRSS48
,,,PRTG
,,,PRX
,,,PSD2
,,,PSG8
,,,PSMA1
,,,PSMA7
,,,PSMB8
,,,PSMB9
,,,PSMC2
,,,PSMD12
,,,PSME1
,,,PSRC1
,,,PSTPIP1
,,,PSTPIP2
,,,PTAFR
,,,PTCD1
,,,PTCHD1
,,,PTCHD4
,,,PTCSC3
,,,PTER
,,,PTF1A
,,,PTGDR
,,,PTGFR
,,,PTGS1
,,,PTGS2
,,,PTH1R
,,,PTMA
,,,PTN
,,,PTP4A3
,,,PTPN14
,,,PTPN22
,,,PTPN6
,,,PTPN7
,,,PTPRB
,,,PTPRC
,,,PTPRE
,,,PTPRG
,,,PTPRM
,,,PTPRO
,,,PTPRT
,,,PTPRZ1
,,,PUM3
,,,PURA
,,,PURG
,,,PWRN1
,,,PXDC1
,,,PXDN
,,,PXDNL
,,,PXK
,,,PXN
,,,PXT1
,,,PYGL
,,,PYGM
,,,PYHIN1
,,,PZP
,,,QDPR
,,,QRFPR
,,,R3HDM2
,,,RAB11B-AS1
,,,RAB14
,,,RAB18
,,,RAB20
,,,RAB27A
,,,RAB2A
,,,RAB31
,,,RAB32
,,,RAB33A
,,,RAB34
,,,RAB38
,,,RAB39A
,,,RAB3C
,,,RAB3IL1
,,,RAB3IP
,,,RAB6C-AS1
,,,RAB7A
,,,RAB7B
,,,RAB9A
,,,RAD21
,,,RAD51B
,,,RAI14
,,,RALYL
,,,RAMP2
,,,RAMP3
,,,RAN
,,,RANBP17
,,,RANBP3L
,,,RAP2C-AS1
,,,RAPGEF1
,,,RARA
,,,RARB
,,,RARG
,,,RARRES1
,,,RASAL1
,,,RASAL3
,,,RASD1
,,,RASGEF1B
,,,RASGEF1C
,,,RASGRP3
,,,RASIP1
,,,RASL12
,,,RASSF1
,,,RASSF2
,,,RASSF3
,,,RASSF8
,,,RAX2
,,,RB1
,,,RBBP5
,,,RBBP9
,,,RBFOX2
,,,RBFOX3
,,,RBM17
,,,RBM20
,,,RBM22
,,,RBM3
,,,RBM42
,,,RBM47
,,,RBM7
,,,RBM8A
,,,RBMS1
,,,RBMS2
,,,RBMS3
,,,RBMS3-AS3
,,,RBP1
,,,RBP7
,,,RBPJ
,,,RBPJL
,,,RBPMS
,,,RBPMS2
,,,RCAN3
,,,RCAN3AS
,,,RCBTB2
,,,RCC2
,,,RCN3
,,,RCOR1
,,,RCSD1
,,,RDH10
,,,RDH10-AS1
,,,REEP4
,,,REL
,,,RELA
,,,RELB
,,,RELL1
,,,RELN
,,,RENBP
,,,RERG
,,,RERGL
,,,REST
,,,RFC2
,,,RFC3
,,,RFFL
,,,RFTN2
,,,RFWD3
,,,RFX1
,,,RFX2
,,,RFX3
,,,RFX4
,,,RFX5
,,,RFX6
,,,RFX7
,,,RFX8
,,,RFXANK
,,,RFXAP
,,,RGCC
,,,RGL3
,,,RGMA
,,,RGR
,,,RGS1
,,,RGS10
,,,RGS12
,,,RGS16
,,,RGS18
,,,RGS19
,,,RGS2
,,,RGS20
,,,RGS22
,,,RGS3
,,,RGS5
,,,RGS6
,,,RGS9
,,,RHBDF2
,,,RHD
,,,RHOBTB1
,,,RHOBTB3
,,,RHOC
,,,RHOG
,,,RHOH
,,,RHOJ
,,,RHOU
,,,RHOXF1
,,,RHOXF2
,,,RHPN2
,,,RILPL2
,,,RIMKLB
,,,RIN2
,,,RIN3
,,,RIOK2
,,,RIPK2
,,,RIT2
,,,RLF
,,,RMDN2-AS1
,,,RMST
,,,RNASE1
,,,RNASEH2B-AS1
,,,RNASEH2C
,,,RNASET2
,,,RND3
,,,RNF114
,,,RNF122
,,,RNF135
,,,RNF138
,,,RNF144B
